Angle,Range
-1.3948997259140015,1.1929999589920044
-1.3818100690841675,1.1740000247955322
-1.3687199354171753,1.156999945640564
-1.355629801750183,1.1390000581741333
-1.3425401449203491,1.121999979019165
-1.329450011253357,1.1069999933242798
-1.3163598775863647,1.090999960899353
-1.3032702207565308,1.0770000219345093
-1.2901800870895386,1.062999963760376
-1.2770904302597046,1.0490000247955322
-1.2637275457382202,1.034999966621399
-1.250637412071228,1.0240000486373901
-1.237547755241394,1.0119999647140503
-1.2244576215744019,1.0
-1.2113674879074097,0.9879999756813049
-1.1982778310775757,0.9769999980926514
-1.1854604482650757,0.9670000076293945
-1.1723703145980835,0.9570000171661377
-1.1592806577682495,0.9470000267028809
-1.1459177732467651,0.9380000233650208
-1.1336458921432495,0.9290000200271606
-1.1205557584762573,0.9200000166893005
-1.1077388525009155,0.9120000004768372
-1.0946487188339233,0.9039999842643738
-1.0815585851669312,0.8949999809265137
-1.0684689283370972,0.8889999985694885
-1.0556515455245972,0.8820000290870667
-1.042561411857605,0.875
-1.0291990041732788,0.8690000176429749
-1.0163816213607788,0.8619999885559082
-1.0032914876937866,0.8550000190734863
-0.9902017712593079,0.8489999771118164
-0.9773843884468079,0.8429999947547913
-0.9642942547798157,0.8379999995231628
-0.9512045979499817,0.8330000042915344
-0.9383872151374817,0.828000009059906
-0.9250243306159973,0.8230000138282776
-0.9122074246406555,0.8180000185966492
-0.8991172909736633,0.8140000104904175
-0.8862999081611633,0.8090000152587891
-0.8732102513313293,0.8050000071525574
-0.8603928685188293,0.8009999990463257
-0.8473027348518372,0.7979999780654907
-0.8344853520393372,0.7940000295639038
-0.821122944355011,0.7900000214576721
-0.808305561542511,0.7870000004768372
-0.795488178730011,0.7839999794960022
-0.782398521900177,0.7820000052452087
-0.769581139087677,0.7789999842643738
-0.756763756275177,0.7760000228881836
-0.743674099445343,0.7739999890327454
-0.730856716632843,0.7720000147819519
-0.7177665829658508,0.7689999938011169
-0.7049492001533508,0.7699999809265137
-0.6918595433235168,0.765999972820282
-0.6790421605110168,0.7630000114440918
-0.6662247776985168,0.7620000243186951
-0.653407871723175,0.7609999775886536
-0.6403177380561829,0.7590000033378601
-0.6272276043891907,0.7580000162124634
-0.6138651967048645,0.7570000290870667
-0.6013205647468567,0.7559999823570251
-0.5885031819343567,0.7549999952316284
-0.5759585499763489,0.7540000081062317
-0.5628688931465149,0.753000020980835
-0.5503242611885071,0.753000020980835
-0.5375068783760071,0.7519999742507935
-0.5249622464179993,0.7519999742507935
-0.5121448636054993,0.7519999742507935
-0.49960070848464966,0.7519999742507935
-0.48678332567214966,0.7509999871253967
-0.47423869371414185,0.7519999742507935
-0.46142131090164185,0.7519999742507935
-0.44860392808914185,0.753000020980835
-0.4363325238227844,0.7540000081062317
-0.4235151410102844,0.7549999952316284
-0.4109705090522766,0.7549999952316284
-0.3981531262397766,0.7559999823570251
-0.3856084942817688,0.7570000290870667
-0.372791588306427,0.7580000162124634
-0.3602469563484192,0.7599999904632568
-0.3477023243904114,0.7609999775886536
-0.33515769243240356,0.7620000243186951
-0.32234030961990356,0.7639999985694885
-0.30979615449905396,0.765999972820282
-0.29697877168655396,0.7680000066757202
-0.28443413972854614,0.7699999809265137
-0.27188950777053833,0.7720000147819519
-0.25907212495803833,0.7749999761581421
-0.2468002438545227,0.777999997138977
-0.2339833378791809,0.7799999713897705
-0.2214387059211731,0.7829999923706055
-0.20889407396316528,0.7870000004768372
-0.19634944200515747,0.7889999747276306
-0.18380481004714966,0.7929999828338623
-0.17126065492630005,0.7960000038146973
-0.15844327211380005,0.7990000247955322
-0.14617139101028442,0.8029999732971191
-0.13335400819778442,0.8069999814033508
-0.12080938369035721,0.8109999895095825
-0.10717422515153885,0.8149999976158142
-0.09462959319353104,0.8199999928474426
-0.08181221038103104,0.8240000009536743
-0.06926757842302322,0.8289999961853027
-0.056723419576883316,0.8339999914169312
-0.043906036764383316,0.8399999737739563
-0.031361404806375504,0.8450000286102295
-0.01881677284836769,0.8519999980926514
-0.006272141356021166,0.8629999756813049
0.006544984877109528,0.8640000224113464
0.019362246617674828,0.8650000095367432
0.03190680220723152,0.8790000081062317
