Angle,Range
-1.1347368955612183,0.37299999594688416
-1.1211012601852417,0.3700000047683716
-1.1080116033554077,0.367000013589859
-1.0949214696884155,0.36399999260902405
-1.0818313360214233,0.3619999885559082
-1.0690144300460815,0.36000001430511475
-1.0556515455245972,0.3569999933242798
-1.042561411857605,0.35499998927116394
-1.029471755027771,0.3529999852180481
-1.016654372215271,0.35100001096725464
-1.0035642385482788,0.3490000069141388
-0.9904745221138,0.34700000286102295
-0.9773843884468079,0.3449999988079071
-0.9645670056343079,0.34299999475479126
-0.9514773488044739,0.34200000762939453
-0.9386599659919739,0.3400000035762787
-0.9255698323249817,0.33899998664855957
-0.9127524495124817,0.3370000123977661
-0.8993900418281555,0.33500000834465027
-0.8868454098701477,0.33500000834465027
-0.8737552762031555,0.3330000042915344
-0.8609383702278137,0.3319999873638153
-0.8478482365608215,0.3310000002384186
-0.8353036046028137,0.33000001311302185
-0.8222134709358215,0.32899999618530273
-0.8093965649604797,0.328000009059906
-0.7963064312934875,0.3269999921321869
-0.7837617993354797,0.32600000500679016
-0.7709444165229797,0.32600000500679016
-0.7581275105476379,0.32499998807907104
-0.7450373768806458,0.3240000009536743
-0.7324927449226379,0.3240000009536743
-0.719403088092804,0.3230000138282776
-0.7068584561347961,0.3230000138282776
-0.6940410733222961,0.32199999690055847
-0.6814964413642883,0.32199999690055847
-0.6684067845344543,0.32100000977516174
-0.6558621525764465,0.32100000977516174
-0.6430447697639465,0.32100000977516174
-0.6305001378059387,0.32100000977516174
-0.6176827549934387,0.32100000977516174
-0.6056836247444153,0.32100000977516174
-0.5931394696235657,0.32100000977516174
-0.5805948376655579,0.32100000977516174
-0.56805020570755,0.32100000977516174
-0.5555055737495422,0.32100000977516174
-0.5429609417915344,0.32100000977516174
-0.5301435589790344,0.32100000977516174
-0.5178716778755188,0.32199999690055847
-0.5053275227546692,0.32199999690055847
-0.4927828907966614,0.3230000138282776
-0.48023825883865356,0.3230000138282776
-0.46769362688064575,0.3230000138282776
-0.45514899492263794,0.3240000009536743
-0.4426043629646301,0.3240000009536743
-0.4303329586982727,0.32499998807907104
-0.4180610775947571,0.32600000500679016
-0.40551644563674927,0.3269999921321869
-0.39297181367874146,0.328000009059906
-0.38042718172073364,0.328000009059906
-0.368155300617218,0.32899999618530273
-0.3558834195137024,0.33000001311302185
-0.3433387875556946,0.3310000002384186
